"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"104";"interro3";"1";"35";"22";"14";"1750";"1836";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:23:08";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"105";"interro3";"1";"35";"22";"14";"1750";"1589";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:09";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"106";"interro3";"1";"35";"22";"14";"1750";"1536";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:23:32";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"107";"interro3";"1";"35";"22";"14";"1750";"1539";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:23:32";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"108";"interro3";"1";"35";"22";"14";"1750";"1545";"000279";"20";"Excellent";"2020-2021";"1";"2021-02-01 06:23:34";"SIXIEME";"1ER CYCLE";"0";"0";"1";"20";"0";\N;\N;\N
"109";"interro3";"1";"35";"22";"14";"1750";"1842";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:33";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"110";"interro3";"1";"35";"22";"14";"1750";"1548";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:23:35";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"111";"interro3";"1";"35";"22";"14";"1750";"1557";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:36";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"112";"interro3";"1";"35";"22";"14";"1750";"1562";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:37";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"113";"interro3";"1";"35";"22";"14";"1750";"1568";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:23:38";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"114";"interro3";"1";"35";"22";"14";"1750";"1565";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:23:39";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"115";"interro3";"1";"35";"22";"14";"1750";"1571";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:23:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"116";"interro3";"1";"35";"22";"14";"1750";"1583";"000279";"18";"Excellent";"2020-2021";"1";"2021-02-01 06:23:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"18";"0";\N;\N;\N
"117";"interro3";"1";"35";"22";"14";"1750";"1577";"000279";"5";"";"2020-2021";"1";"2021-02-01 06:23:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"5";"0";\N;\N;\N
